# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

Key:0xf00d6693 IP: 147.102.13.240, Name: hulk-man.netmode.ece.ntua.gr
Key:0x910d6693 IP: 147.102.13.145, Name: vmyplc.netmode.ece.ntua.gr
Key:0x320d6693 IP: 147.102.13.50, Name: bagioris.netmode.ece.ntua.gr
Key:0xd30d6693 IP: 147.102.13.211, Name: dhcp-211.netmode.ece.ntua.gr
Key:0x740d6693 IP: 147.102.13.116, Name: ava.netmode.ece.ntua.gr
Key:0x150d6693 IP: 147.102.13.21, Name: sensor.netmode.ece.ntua.gr
Key:0xb60d6693 IP: 147.102.13.182, Name: cookie07.netmode.ece.ntua.gr
Key:0x570d6693 IP: 147.102.13.87, Name: macbook.netmode.ece.ntua.gr
Key:0xe6de6693 IP: 147.102.222.230, Name: ulysses.noc.ntua.gr
Key:0xf80d6693 IP: 147.102.13.248, Name: space.netmode.ece.ntua.gr
Key:0x3a0d6693 IP: 147.102.13.58, Name: platon.netmode.ece.ntua.gr
Key:0xdb0d6693 IP: 147.102.13.219, Name: dhcp-219.netmode.ece.ntua.gr
Key:0x7c0d6693 IP: 147.102.13.124, Name: copier.netmode.ece.ntua.gr
Key:0x1d0d6693 IP: 147.102.13.29, Name: mafioso.netmode.ece.ntua.gr
Key:0xd6693 IP: 147.102.13.0, Name: net.netmode.ece.ntua.gr
Key:0x420d6693 IP: 147.102.13.66, Name: dhcp-66.netmode.ece.ntua.gr
Key:0x840d6693 IP: 147.102.13.132, Name: dhcp-132.netmode.ece.ntua.gr
Key:0x250d6693 IP: 147.102.13.37, Name: niobe.netmode.ece.ntua.gr
Key:0x670d6693 IP: 147.102.13.103, Name: dell5330.netmode.ece.ntua.gr
Key:0x80d6693 IP: 147.102.13.8, Name: zizou.netmode.ece.ntua.gr
Key:0xa90d6693 IP: 147.102.13.169, Name: casanova.netmode.ece.ntua.gr
Key:0x4a0d6693 IP: 147.102.13.74, Name: dhcp-74.netmode.ece.ntua.gr
Key:0xeb0d6693 IP: 147.102.13.235, Name: test2.netmode.ece.ntua.gr
Key:0x8c0d6693 IP: 147.102.13.140, Name: batman.netmode.ece.ntua.gr
Key:0xdb1c04c7 IP: 199.4.28.219, Name: gr-us.ics.forth.gr
Key:0x2d0d6693 IP: 147.102.13.45, Name: grid5.netmode.ece.ntua.gr
Key:0x6f0d6693 IP: 147.102.13.111, Name: ithaki.netmode.ece.ntua.gr
Key:0x100d6693 IP: 147.102.13.16, Name: mitsos.netmode.ece.ntua.gr
Key:0xb10d6693 IP: 147.102.13.177, Name: attalea.netmode.ece.ntua.gr
Key:0x520d6693 IP: 147.102.13.82, Name: spiderman.netmode.ece.ntua.gr
Key:0x8208d453 IP: 83.212.8.130, Name: gr-aix.ics.forth.gr
Key:0xf30d6693 IP: 147.102.13.243, Name: xavier.netmode.ece.ntua.gr
Key:0x940d6693 IP: 147.102.13.148, Name: vnode2.netmode.ece.ntua.gr
Key:0xa0400c2 IP: 194.0.4.10, Name: gr-m.ics.forth.gr
Key:0xd60d6693 IP: 147.102.13.214, Name: dhcp-214.netmode.ece.ntua.gr
Key:0x770d6693 IP: 147.102.13.119, Name: matlab.netmode.ece.ntua.gr
Key:0x180d6693 IP: 147.102.13.24, Name: vcr.netmode.ece.ntua.gr
Key:0xb90d6693 IP: 147.102.13.185, Name: cookie10.netmode.ece.ntua.gr
Key:0x5a0d6693 IP: 147.102.13.90, Name: vc.netmode.ece.ntua.gr
Key:0xfb0d6693 IP: 147.102.13.251, Name: juniper-sw.netmode.ece.ntua.gr
Key:0x3d0d6693 IP: 147.102.13.61, Name: dhcp-61.netmode.ece.ntua.gr
